NODE_2_length_848941_cov_34.707477	KC993176.1	0	88.889	1.79e-08	36	105718	105771	26985	26932
NODE_2_length_848941_cov_34.707477	NC_010166.1	0	87.037	8.35e-07	33	105718	105771	1673	1726
NODE_2_length_848941_cov_34.707477	MF163266.1	0	87.037	8.35e-07	33	105718	105771	3574	3627
NODE_12_length_362954_cov_36.374000	KC993176.1	0	87.500	3.57e-07	33	360159	360211	29933	29878
NODE_12_length_362954_cov_36.374000	KC993176.1	0	85.714	7.72e-04	27	359990	360036	29931	29883
NODE_12_length_362954_cov_36.374000	CM010605.1	0	81.690	4.62e-06	31	359968	360036	26037	26107
NODE_13_length_337202_cov_35.682628	FN356025.1	0	82.653	1.97e-14	46	200058	200155	32005	32100
NODE_13_length_337202_cov_35.682628	KC993186.1	0	81.373	2.54e-13	44	200054	200155	10973	11072
NODE_13_length_337202_cov_35.682628	LT635763.1	0	82.418	3.29e-12	42	200065	200155	7047	6959
NODE_13_length_337202_cov_35.682628	NC_010166.1	0	80.392	1.18e-11	41	200054	200155	3151	3250
NODE_13_length_337202_cov_35.682628	HM594866.1	0	79.808	5.51e-10	38	200054	200155	6353	6452
NODE_13_length_337202_cov_35.682628	X74411.6	0	79.310	3.32e-07	33	200054	200140	8346	8260
NODE_13_length_337202_cov_35.682628	KC993176.1	0	82.609	1.19e-06	32	200084	200152	24931	24864
NODE_13_length_337202_cov_35.682628	KC993196.1	0	77.885	1.19e-06	32	200054	200155	7007	7106
NODE_13_length_337202_cov_35.682628	AF285261.1	0	82.812	1.54e-05	30	200085	200148	3854	3916
NODE_13_length_337202_cov_35.682628	KF017573.1	0	80.822	1.54e-05	30	200080	200152	18279	18349
NODE_13_length_337202_cov_35.682628	EF468347.1	0	80.263	5.55e-05	29	200080	200155	13374	13302
NODE_13_length_337202_cov_35.682628	EF468347.1	0	80.263	5.55e-05	29	200080	200155	21548	21620
NODE_25_length_134160_cov_34.375424	KF017574.1	0	91.304	3.67e-08	34	41368	41413	2385	2430
NODE_25_length_134160_cov_34.375424	KC993198.1	0	92.857	1.32e-07	33	41372	41413	21979	22020
NODE_25_length_134160_cov_34.375424	KC993198.1	0	87.234	7.94e-05	28	41375	41421	22496	22541
NODE_25_length_134160_cov_34.375424	KC993176.1	0	87.755	1.71e-06	31	41368	41416	26564	26516
NODE_25_length_134160_cov_34.375424	KC993174.1	0	88.889	6.14e-06	30	41373	41417	12434	12478
NODE_25_length_134160_cov_34.375424	FN356025.1	0	87.234	2.21e-05	29	41367	41413	30476	30522
NODE_25_length_134160_cov_34.375424	FN356025.1	0	91.667	2.85e-04	27	41378	41413	6650	6685
NODE_25_length_134160_cov_34.375424	AF285261.1	0	87.234	2.21e-05	29	41367	41413	2235	2281
NODE_25_length_134160_cov_34.375424	EU267175.1	0	90.244	7.94e-05	28	41374	41413	31451	31491
NODE_25_length_134160_cov_34.375424	HE983614.1	0	88.636	2.85e-04	27	41372	41413	34294	34336
NODE_25_length_134160_cov_34.375424	HE983611.1	0	88.636	2.85e-04	27	41372	41413	2954	2996
NODE_38_length_26805_cov_463.564202	KC993186.1	68	88.115	0.0	1127	7716	9474	21871	23625
NODE_38_length_26805_cov_463.564202	KC993186.1	68	87.246	0.0	949	5948	7506	5571	7115
NODE_38_length_26805_cov_463.564202	KC993186.1	68	87.068	0.0	858	21930	23367	11550	12949
NODE_38_length_26805_cov_463.564202	KC993186.1	68	86.123	0.0	667	25654	26805	3428	4569
NODE_38_length_26805_cov_463.564202	KC993186.1	68	86.686	0.0	618	10007	11041	64	1098
NODE_38_length_26805_cov_463.564202	KC993186.1	68	89.815	0.0	599	20724	21585	10293	11156
NODE_38_length_26805_cov_463.564202	KC993186.1	68	89.286	0.0	492	12473	13198	2245	2971
NODE_38_length_26805_cov_463.564202	KC993186.1	68	88.786	0.0	432	15443	16093	20971	21621
NODE_38_length_26805_cov_463.564202	KC993186.1	68	83.829	0.0	430	24680	25519	13695	14530
NODE_38_length_26805_cov_463.564202	KC993186.1	68	85.509	0.0	429	4937	5699	19403	20163
NODE_38_length_26805_cov_463.564202	KC993186.1	68	85.375	0.0	428	17310	18088	8399	9178
NODE_38_length_26805_cov_463.564202	KC993186.1	68	84.105	0.0	394	1270	2032	15386	16173
NODE_38_length_26805_cov_463.564202	KC993186.1	68	86.083	3.59e-151	290	13555	14055	20468	20966
NODE_38_length_26805_cov_463.564202	KC993186.1	68	88.946	1.03e-131	255	880	1265	14898	15280
NODE_38_length_26805_cov_463.564202	KC993186.1	68	80.840	6.22e-124	241	3	591	4495	5072
NODE_38_length_26805_cov_463.564202	KC993186.1	68	81.098	3.00e-97	193	2379	2857	16409	16873
NODE_38_length_26805_cov_463.564202	KC993186.1	68	85.196	8.46e-88	176	16373	16699	7573	7892
NODE_38_length_26805_cov_463.564202	KC993186.1	68	83.106	3.04e-87	175	23510	23875	24257	24613
NODE_38_length_26805_cov_463.564202	KC993186.1	68	93.088	5.09e-85	171	2089	2304	16182	16398
NODE_38_length_26805_cov_463.564202	KC993186.1	68	82.222	4.02e-71	146	18277	18635	9285	9601
NODE_38_length_26805_cov_463.564202	KC993186.1	68	89.100	2.42e-68	141	16891	17100	7989	8199
NODE_38_length_26805_cov_463.564202	KC993186.1	68	92.391	8.70e-68	140	20298	20480	9657	9838
NODE_38_length_26805_cov_463.564202	KC993186.1	68	93.373	8.76e-63	131	3261	3423	17570	17735
NODE_38_length_26805_cov_463.564202	KC993186.1	68	75.381	1.15e-51	111	11688	12145	1625	2067
NODE_38_length_26805_cov_463.564202	KC993186.1	68	89.865	3.22e-47	103	9527	9674	23640	23787
